,query_id,client_email,query_heading,query_description,status,date_raised,date_closed
0,Q0001,joshuaoneill@example.net,Bug Report,Tab focus jumps incorrectly.,Closed,26-02-2025,27-02-2025
1,Q0002,edward91@example.net,Bug Report,Form validation not working properly.,Closed,22-07-2025,01-08-2025
2,Q0003,cookmason@example.org,Account Suspension,Need help lifting restrictions.,Closed,18-06-2025,19-06-2025
3,Q0004,wtaylor@example.com,Data Export,Need monthly data dump in CSV.,Closed,25-02-2025,07-03-2025
4,Q0005,rmoore@example.net,UI Feedback,Icons not intuitive.,Closed,19-06-2025,20-06-2025
5,Q0006,carrollamanda@example.net,Technical Support,Graphs not rendering properly.,Closed,12-05-2025,26-05-2025
6,Q0007,chavezlouis@example.com,Account Suspension,How do I appeal a suspension?,Closed,05-04-2025,12-04-2025
7,Q0008,monica93@example.net,Billing Problem,Promo code was not applied.,Closed,10-06-2025,12-06-2025
8,Q0009,stephaniejackson@example.net,Payment Failure,EMI option not available anymore.,Closed,23-07-2025,24-07-2025
9,Q0010,gregory24@example.com,Feature Request,Suggesting calendar integration.,Closed,18-06-2025,20-06-2025
10,Q0011,virginia01@example.org,Subscription Cancellation,Cancel option not visible in settings.,Closed,15-06-2025,16-06-2025
11,Q0012,eneal@example.org,Data Export,Exported PDF looks blank.,Closed,19-05-2025,21-05-2025
12,Q0013,colecynthia@example.net,Data Export,Need export in regional time zone.,Closed,16-03-2025,29-03-2025
13,Q0014,areid@example.com,Technical Support,Getting JSON decode error.,Closed,28-05-2025,04-06-2025
14,Q0015,davidstephens@example.com,Billing Problem,Refund not credited after 7 days.,Closed,11-04-2025,22-04-2025
15,Q0016,qfuller@example.com,Login Issue,Cannot log in on mobile app.,Closed,15-07-2025,17-07-2025
16,Q0017,tchapman@example.com,Payment Failure,Need help with failed subscription payment.,Closed,29-05-2025,01-06-2025
17,Q0018,fnielsen@example.org,Subscription Cancellation,Want refund for unused days.,Closed,27-05-2025,29-05-2025
18,Q0019,andersontristan@example.com,Technical Support,Cannot upload files to cloud.,Closed,19-02-2025,20-02-2025
19,Q0020,zsteele@example.com,Payment Failure,Payment shows success but app locked.,Closed,19-04-2025,20-04-2025
20,Q0021,kenneth93@example.org,Feature Request,Need voice assistant for dashboard.,Closed,24-05-2025,06-06-2025
21,Q0022,adam25@example.net,Technical Support,Live chat not launching.,Closed,29-05-2025,30-05-2025
22,Q0023,orozcobrandon@example.net,Feature Request,Requesting PDF report generation.,Closed,26-04-2025,29-04-2025
23,Q0024,johnsonnicholas@example.org,Account Suspension,Terms of use were unclear.,Closed,10-02-2025,13-02-2025
24,Q0025,thomas14@example.net,Bug Report,Search bar resets randomly.,Closed,01-04-2025,13-04-2025
25,Q0026,robinwiggins@example.net,Technical Support,Slow performance during peak hours.,Closed,28-05-2025,01-06-2025
26,Q0027,fostermegan@example.org,Subscription Cancellation,App locked after cancellation.,Closed,17-03-2025,19-03-2025
27,Q0028,woodmichael@example.com,Technical Support,Download button is inactive.,Closed,03-07-2025,05-07-2025
28,Q0029,rachaelcobb@example.net,UI Feedback,Buttons overlap on smaller screens.,Closed,23-04-2025,03-05-2025
29,Q0030,robertsconnie@example.net,Billing Problem,Unable to update billing address.,Closed,18-07-2025,25-07-2025
30,Q0031,keithcontreras@example.org,Bug Report,Back button doesn’t work.,Closed,07-06-2025,10-06-2025
31,Q0032,ryanwilcox@example.com,Bug Report,Dropdown not loading values.,Closed,19-03-2025,20-03-2025
32,Q0033,pross@example.net,Subscription Cancellation,Wrong account cancelled.,Closed,15-06-2025,19-06-2025
33,Q0034,victorgonzalez@example.org,Payment Failure,Payment failed due to card error.,Closed,01-04-2025,08-04-2025
34,Q0035,zallen@example.com,Technical Support,Freezing during screen load.,Closed,25-06-2025,30-06-2025
35,Q0036,nbeard@example.org,Feature Request,Multi-user role system would help.,Closed,16-07-2025,17-07-2025
36,Q0037,aaron20@example.org,Feature Request,Add folder structure to organize data.,Closed,05-06-2025,11-06-2025
37,Q0038,david27@example.com,UI Feedback,Dark mode missing in login.,Closed,19-07-2025,26-07-2025
38,Q0039,kristen99@example.org,Technical Support,Download button is inactive.,Closed,07-04-2025,09-04-2025
39,Q0040,hyoung@example.com,Payment Failure,Charged twice for one payment.,Opened,20-07-2025,
40,Q0041,brandonrich@example.org,Feature Request,Need in-app video tutorials.,Closed,24-06-2025,25-06-2025
41,Q0042,kellyblack@example.net,Feature Request,Include a mobile-first UI option.,Closed,23-02-2025,27-02-2025
42,Q0043,cyoung@example.com,Bug Report,Unable to delete old entries.,Closed,07-06-2025,08-06-2025
